AccountNumber,AcctName,TotalAdoptionPercent,LicensedAdoptionPercent,AdoptionCategoryIndicator,LicensingCategoryIndicator
ACCT0006702,Geneia LLC,22.222,54.545,2,2
ACCT0006709,"EGS Corporation (NCO Group, Inc.)",48.148,144.444,5,1
ACCT0006710,ProMedica Health Systems Inc,44.444,150,4,1
ACCT0006716,Shire US Inc,3.703,7.692,1,2
ACCT0006719,Informa PlUK Ltdc,74.074,"2,000",5,1
ACCT0006721,ATCORE Technology Ltd,25.925,46.666,2,2
ACCT0006723,Four Seasons Hotels,40.74,73.333,4,2
ACCT0006727,Toyota Motor Manufacturing Canada Inc,40.74,78.571,4,2
ACCT0006751,University of California Merced,29.629,114.285,3,1
ACCT0006757,Vopak Global Information Services,51.851,87.5,5,3
ACCT0006760,Macquarie University,40.74,157.142,4,1
ACCT0006763,Reed Elsevier Technology Services Inc,55.555,100,5,2
ACCT0006768,Umass Amherst,11.111,33.333,1,1
ACCT0006769,Boston Medical Center Corp,29.629,57.142,3,2
ACCT0006774,BlueCross BlueShield of Louisiana,44.444,85.714,4,2
ACCT0006779,Greenville Health System,44.444,80,4,2
ACCT0006780,Epicor Software Corp,40.74,100,4,2
ACCT0006781,"Waggener Edstrom Worldwide, Inc.",40.74,73.333,4,2
ACCT0006785,Saint Francis Health System Inc,11.111,20,1,2
ACCT0006790,Valley Health System,22.222,66.666,2,1
ACCT0006796,"ANSYS, Inc.",25.925,70,2,1
ACCT0006802,"Buffalo Wild Wings, Inc.",40.74,68.75,4,3
ACCT0006809,FEI Company,29.629,66.666,3,2
ACCT0006810,General Atomics,48.148,92.857,5,2
ACCT0006824,Gardner Denver Inc,22.222,75,2,1
ACCT0006831,Royal Automobile Club of Victoria (RACV) Ltd,44.444,85.714,4,2
ACCT0006833,LexisNexis Group,33.333,60,3,2
ACCT0006834,Fiat Chrysler,55.555,107.142,5,2
ACCT0006842,Macquarie Telecom Pty Ltd,18.518,55.555,2,1
ACCT0006851,Moses Cone Health System,66.666,120,5,2
ACCT0006854,Stora Enso AB,40.74,73.333,4,2
ACCT0006856,Novo Nordisk AS,11.111,30,1,1
ACCT0006858,Wellmont Health System,62.962,121.428,5,2
ACCT0006863,Premier Health Partners,37.037,66.666,4,2
ACCT0006867,Elster Holdings GmbH,33.333,60,3,2
ACCT0006868,Onninen Oy,33.333,60,3,2
ACCT0006869,Cargotec,37.037,66.666,4,2
ACCT0006871,Hopital Du Valais - Institut Central ICHV,40.74,73.333,4,2
ACCT0006872,Aeroport International De Geneve,18.518,33.333,2,2
ACCT0006887,MIR3 Inc,33.333,<Null>,3,4
ACCT0006897,DJO Global Inc,62.962,113.333,5,2
ACCT0006903,CareGroup Healthcare System,33.333,<Null>,3,4
ACCT0006905,Locaweb Servicos de Internet S.A.,40.74,78.571,4,2
ACCT0006906,AvMed Health Plans,33.333,64.285,3,2
ACCT0006910,IDP Education Pty Ltd,29.629,53.333,3,2
ACCT0006915,EMI Publishing (UK),3.703,6.666,1,2
ACCT0006917,Toshiba America Business Solutions,40.74,73.333,4,2
ACCT0006930,SeaWorld Parks & Entertainment Inc,40.74,157.142,4,1
ACCT0006937,"Samuel, Son & Co. Ltd.",44.444,171.428,4,1
ACCT0006939,Allianz Global Investors of America L.P.,37.037,62.5,4,3
ACCT0006940,Cox Automotive,59.259,94.117,5,3
ACCT0006942,FairPoint Communications Inc,29.629,80,3,1
ACCT0006943,CHEP Company,51.851,175,5,1
ACCT0006946,Allied Solutions LLC,40.74,73.333,4,2
ACCT0006947,Ares Management LLC,37.037,62.5,4,3
ACCT0006958,Eastern Maine Healthcare Systems,22.222,46.153,2,2
ACCT0006966,"Velocity Technology Solutions, Inc.",51.851,82.352,5,3
ACCT0006970,eHealth NSW,25.925,50,2,2
ACCT0006980,Queensland WOG - CorpTech,59.259,100,5,3
ACCT0006981,Franciscan Missionaries Of Our Lady Health System Ic,11.111,21.428,1,2
ACCT0006991,"Allison Transmission, Inc",55.555,100,5,2
ACCT0007001,Alexander Mann,14.814,50,2,1
ACCT0007002,Purdue Pharma L.P.,48.148,86.666,5,2
ACCT0007003,Ferring AG,37.037,62.5,4,3
ACCT0007006,United Business Media LLC,37.037,71.428,4,2
ACCT0007013,TNT Express ICS Limited,55.555,100,5,2
ACCT0007014,The Chubb Corporation,48.148,108.333,5,2
ACCT0007017,Virginia Polytechnic Institute And State University,29.629,72.727,3,2
ACCT0007021,"Actelion Pharmaceuticals US, Inc",11.111,20,1,2
ACCT0007046,Tyco Safety Products,29.629,57.142,3,2
ACCT0007048,Skanska USA Inc,29.629,61.538,3,2
ACCT0007051,Norges Idrettsforbund (NIF),44.444,80,4,2
ACCT0007066,SAP SE (Crossgate),25.925,46.666,2,2
ACCT0007071,Oxfam GB,44.444,85.714,4,2
ACCT0007074,Stockmann Oyj Abp,55.555,107.142,5,2
ACCT0007075,Cabot Financial (Europe) Limited,18.518,33.333,2,2
ACCT0007078,Ascend Performance Materials,48.148,<Null>,5,4
ACCT0007085,I-Bridge BV,40.74,73.333,4,2
ACCT0007086,University of Arkansas-Fort Smith,44.444,80,4,2
ACCT0007100,Imperial College London Ltd,55.555,100,5,2
ACCT0007101,Medica,62.962,94.444,5,3
ACCT0007102,Centene Corp.,59.259,88.888,5,3
ACCT0007118,State Of Maryland,29.629,80,3,1
ACCT0007140,Fresenius Netcare GmbH,29.629,114.285,3,1
ACCT0007151,University Of California - UCSD Health Sciences,33.333,60,3,2
ACCT0007160,Coca-Cola Company,62.962,113.333,5,2
ACCT0007162,Alb??a Services (Alb??a Group),33.333,56.25,3,3
ACCT0007163,Eastern Washington University Inc,14.814,50,2,1
ACCT0007180,St. Luke's Health Network,48.148,81.25,5,3
ACCT0007184,Melbourne IT (WebCentral Pty Ltd),33.333,100,3,1
ACCT0007188,Cenovus Energy Inc,33.333,56.25,3,3
ACCT0007202,Qantas Airways Ltd,66.666,120,5,2
ACCT0007205,International Air Transport Association IATA,66.666,120,5,2
ACCT0007222,Yamana Gold Inc,51.851,93.333,5,2
ACCT0007236,Dollarama,40.74,78.571,4,2
ACCT0007243,Denovo,33.333,60,3,2
ACCT0007249,O'Melveny & Myers LLP,7.407,13.333,1,2
ACCT0007251,Asante Health System,40.74,157.142,4,1
ACCT0007254,FIL Investment Management Limited,37.037,66.666,4,2
ACCT0007282,Swisscanto Asset Management AG,25.925,50,2,2
ACCT0007293,Nav Canada,29.629,100,3,1
ACCT0007296,CERN,33.333,56.25,3,3
ACCT0007305,ApplicationNet BV,44.444,75,4,3
ACCT0007313,Alliance Pipeline Ltd.,40.74,73.333,4,2
ACCT0007315,Under Armour Inc,51.851,93.333,5,2
ACCT0007321,eProtex,22.222,40,2,2
ACCT0007323,Baystate Health inc,51.851,93.333,5,2
ACCT0007329,Sprint NOC (formerly Clear Wireless Corporation NOC),25.925,50,2,2
ACCT0007331,Spirit Pub Company Services Ltd,29.629,53.333,3,2
ACCT0007336,Orica Ltd,51.851,93.333,5,2
ACCT0007340,Smart421 Ltd,25.925,46.666,2,2
ACCT0007346,JSE Ltd,37.037,71.428,4,2
ACCT0007350,Cargill B.V,18.518,33.333,2,2
ACCT0007351,Travelport LP,40.74,73.333,4,2
ACCT0007361,WellMed Medical Management Inc,55.555,88.235,5,3
ACCT0007369,Queensland Department of Education and Training,51.851,93.333,5,2
ACCT0007374,BSH Hausger?ñte GmbH,22.222,<Null>,2,4
ACCT0007375,Bunge Europe,33.333,64.285,3,2
ACCT0007386,Europcar,51.851,93.333,5,2
ACCT0007394,Reed Professional Services LP,44.444,171.428,4,1
ACCT0007424,"California State Polytechnic University, Pomona",33.333,60,3,2
ACCT0007430,Deckers Outdoor Corporation,37.037,71.428,4,2
ACCT0007431,"California State University, Dominguez Hills",25.925,43.75,2,3
ACCT0007452,KPN IT/NL,22.222,40,2,2
ACCT0007454,Franke Management AG,48.148,86.666,5,2
ACCT0007462,OARnet,44.444,80,4,2
ACCT0007464,Bain Capital LLC,55.555,93.75,5,3
ACCT0007515,Loyola Marymount University Inc,51.851,100,5,2
ACCT0007516,AccentCare Inc,25.925,63.636,2,2
ACCT0007517,Lululemon Athletica Inc,33.333,128.571,3,1
ACCT0007524,CIMIC Group Limited,40.74,64.705,4,3
ACCT0007526,"Panda Restaurant Group, Inc.",44.444,75,4,3
ACCT0007527,L.A. Fitness International LLC,18.518,55.555,2,1
ACCT0007530,Ingeus Europe Ltd,40.74,110,4,1
ACCT0007538,Sanoma Corporation,33.333,128.571,3,1
ACCT0007540,F-Secure Corporation,37.037,66.666,4,2
ACCT0007549,Whitbread,37.037,66.666,4,2
ACCT0007551,Mitchells & Butlers Leisure Retail Limited,55.555,107.142,5,2
ACCT0007555,William Hill Plc,59.259,<Null>,5,4
ACCT0007570,A & N Media,33.333,<Null>,3,4
ACCT0007574,National Grid Plc UK,22.222,37.5,2,3
ACCT0007575,IBM UK Ltd - WPP,55.555,166.666,5,1
ACCT0007576,TriCore Laboratory Services Corp,44.444,80,4,2
ACCT0007577,"Rackspace US, Inc",59.259,106.666,5,2
ACCT0007580,Murdoch University,29.629,114.285,3,1
ACCT0007588,Harrods Ltd,25.925,43.75,2,3
ACCT0007590,Konecranes Global Corporation,29.629,53.333,3,2
ACCT0007591,VR-Group Ltd,37.037,66.666,4,2
ACCT0007593,Recall Corporation,51.851,93.333,5,2
ACCT0007595,Maxam Europe SA,29.629,57.142,3,2
ACCT0007596,Tabcorp Intl Pty Ltd,48.148,86.666,5,2
ACCT0007601,Douglas County Government,48.148,92.857,5,2
ACCT0007628,"Aritzia, LP",40.74,73.333,4,2
ACCT0007633,Posti Group Oyj,40.74,68.75,4,3
ACCT0007644,Capital District Physicians Health Plan Inc CDPHP,62.962,121.428,5,2
ACCT0007651,Healthfirst Inc,48.148,92.857,5,2
ACCT0007661,NICE Systems Ltd,40.74,100,4,2
ACCT0007666,Related Companies Inc,25.925,70,2,1
ACCT0007673,Time Inc.,44.444,80,4,2
ACCT0007684,Landgate,44.444,75,4,3
ACCT0007689,Canadian Western Bank,51.851,<Null>,5,4
ACCT0007699,BlueLock LLC,14.814,25,2,3
ACCT0007709,Pentana Solutions Pty Ltd,18.518,33.333,2,2
ACCT0007710,Rovi Corporation,22.222,40,2,2
ACCT0007717,Allen and Overy LLP,55.555,166.666,5,1
ACCT0007727,BMW AG,11.111,42.857,1,1
ACCT0007729,Alexion Pharmaceuticals Inc,48.148,92.857,5,2
ACCT0007734,Saint Francis Care Inc,37.037,66.666,4,2
ACCT0007754,Colliers International USA Inc,25.925,50,2,2
ACCT0007759,Cetera Financial Group Inc,29.629,114.285,3,1
ACCT0007765,Integra Telecom Inc,51.851,93.333,5,2
ACCT0007767,LinkedIn Corporation,40.74,122.222,4,1
ACCT0007769,"Chart Industries, Inc.",37.037,62.5,4,3
ACCT0007771,University of California - Irvine Medical Center,51.851,93.333,5,2
ACCT0007772,First Financial Bancorp,18.518,55.555,2,1
ACCT0007785,Colt Technology Services,40.74,73.333,4,2
ACCT0007788,"Jeppesen Sanderson, Inc.",51.851,93.333,5,2
ACCT0007789,Goodyear Dunlop Belgium (Fujitsu),29.629,53.333,3,2
ACCT0007889,Huntington Hospital,22.222,40,2,2
ACCT0007905,A.S. Watson (Superdrug),14.814,26.666,2,2
ACCT0007906,Federal Home Loan Bank Of Boston,18.518,33.333,2,2
ACCT0007907,Farm Credit Bank Of Texas,33.333,56.25,3,3
ACCT0007908,Twitter Inc,7.407,14.285,1,2
ACCT0007913,Clifford Chance LLP,25.925,77.777,2,1
ACCT0007932,The Royal Institution for the Advancement of Learning/ McGill University,37.037,111.111,4,1
ACCT0007947,Avid,51.851,87.5,5,3
ACCT0007948,Event Hospitality & Entertainment Ltd,14.814,26.666,2,2
ACCT0007953,"First Banks, Inc.",48.148,81.25,5,3
ACCT0007961,"Verisk Analytics, Inc.",62.962,113.333,5,2
ACCT0007982,"athenahealth, Inc.",59.259,106.666,5,2
ACCT0007985,Commonwealth Financial Network,44.444,80,4,2
ACCT0007994,Haemonetics Corporation,22.222,37.5,2,3
ACCT0008002,NGAM Advisors LP,18.518,50,2,1
ACCT0008006,Sapient Corporation,29.629,53.333,3,2
ACCT0008008,HCL - Sensata Technologies,40.74,78.571,4,2
ACCT0008020,Guy's St Thomas' NHS Foundation Trust,44.444,80,4,2
ACCT0008027,"ReachLocal, Inc.",44.444,<Null>,4,4
ACCT0008030,SVB Financial Group,44.444,80,4,2
ACCT0008034,Digital Realty Trust LP,22.222,60,2,1
ACCT0008045,Chevron Federal Credit Union,66.666,112.5,5,3
ACCT0008049,"BKD, LLP",40.74,73.333,4,2
ACCT0008067,BlueCross BlueShield Association,59.259,106.666,5,2
ACCT0008072,Edward Elmhurst Healthcare,33.333,69.23,3,2
ACCT0008087,Crowe Horwath LLP,51.851,87.5,5,3
ACCT0008090,"Terracon Consultants, Inc.",29.629,57.142,3,2
ACCT0008096,"Carhartt, Inc.",37.037,<Null>,4,4
ACCT0008098,Lakeland HealthCare,44.444,80,4,2
ACCT0008100,"Plante & Moran, PLLC",44.444,80,4,2
ACCT0008111,St. Anthony's Medical Center,59.259,106.666,5,2
ACCT0008120,Central 1 Credit Union,37.037,66.666,4,2
ACCT0008123,"Match.com, LLC",25.925,46.666,2,2
ACCT0008126,Onyx Payments,33.333,64.285,3,2
ACCT0008135,WideOpenWest Networks LLC WOW!,44.444,120,4,1
ACCT0008138,Mutuelle Nationale Territoriale,29.629,57.142,3,2
ACCT0008139,Burns & McDonnell Inc,37.037,66.666,4,2
ACCT0008154,"Baker Tilly Virchow Krause, LLP",37.037,111.111,4,1
ACCT0008159,ProHealth Care Inc,37.037,66.666,4,2
ACCT0008176,Holland America Line Inc.,40.74,68.75,4,3
ACCT0008185,"Cushman & Wakefield, UK Ltd",40.74,78.571,4,2
ACCT0008188,"MSG Sports & Entertainment, LLC",33.333,128.571,3,1
ACCT0008190,MetLife Europe Ltd,29.629,53.333,3,2
ACCT0008191,Firmenich SA,66.666,120,5,2
ACCT0008192,Hopitaux Universitaires Genevois,33.333,52.941,3,3
ACCT0008196,Kmart Australia Limited,25.925,50,2,2
ACCT0008198,Pacific Life - Retirement Services,29.629,50,3,3
ACCT0008200,"University of California, San Francisco - Epic",25.925,50,2,2
ACCT0008201,Utah State University,40.74,73.333,4,2
ACCT0008202,Alberta Motor Association,33.333,100,3,1
ACCT0008205,"O'Neil & Associates, Inc.",29.629,53.333,3,2
ACCT0008207,University Of Central Florida,37.037,111.111,4,1
ACCT0008211,City of Houston,33.333,64.285,3,2
ACCT0008222,Salt Lake Community College,29.629,114.285,3,1
ACCT0008251,Independent Electricity System Operator (IESO),33.333,60,3,2
ACCT0008296,Spencer Stuart,66.666,120,5,2
ACCT0008299,Infoblox Inc.,25.925,46.666,2,2
ACCT0008325,Davis Wright Tremaine LLP,25.925,50,2,2
ACCT0008327,Littler Mendelson P.C.,22.222,40,2,2
ACCT0008355,Lattice Semiconductor Corporation,3.703,11.111,1,1
ACCT0008371,National Football League Inc,18.518,33.333,2,2
ACCT0008372,Australian National University,44.444,80,4,2
ACCT0008382,Midland Credit Management Inc,37.037,<Null>,4,4
ACCT0008385,Abdul Latif Jameel Co. Ltd.,25.925,46.666,2,2
ACCT0008393,University of Miami,33.333,100,3,1
ACCT0008394,Western Governors University,44.444,80,4,2
ACCT0008395,Canadian Real Estate Association,51.851,100,5,2
ACCT0008411,Loomis Armored,25.925,46.666,2,2
ACCT0008424,AlixPartners LLP,44.444,<Null>,4,4
ACCT0008460,BlueCross BlueShield of Vermont,25.925,50,2,2
ACCT0008471,Jackson Lewis LLP,40.74,78.571,4,2
ACCT0008485,"State of Alabama, Department of Finance, Information Services Division",33.333,128.571,3,1
ACCT0008502,Behr Process Corp,51.851,93.333,5,2
ACCT0008503,EXFO Inc,33.333,64.285,3,2
ACCT0008506,Arkea,25.925,50,2,2
ACCT0008513,Vertafore Inc,48.148,81.25,5,3
ACCT0008519,Pacific Pulmonary Services,37.037,66.666,4,2
ACCT0008531,University of South Florida,33.333,60,3,2
ACCT0008543,Tyco UK,51.851,93.333,5,2
ACCT0008552,Hilti Corporation,29.629,57.142,3,2
ACCT0008584,NDS Ltd,29.629,53.333,3,2
ACCT0008591,"Enterprise Holdings, Inc.",74.074,125,5,3
ACCT0008597,Scott County,37.037,83.333,4,2
ACCT0008603,Afilias Canada Corp,55.555,93.75,5,3
ACCT0008609,FATCO Holdings LLC,55.555,75,5,3
ACCT0008612,Steel Technologies LLC,40.74,78.571,4,2
ACCT0008614,Allianz Managed Operations & Services SE,18.518,41.666,2,2
ACCT0008619,First Niagara Financial Group Inc,37.037,66.666,4,2
ACCT0008620,Charter Communications,44.444,133.333,4,1
ACCT0008622,Peabody Energy Corp,85.185,135.294,5,3
ACCT0008624,Weill Cornell Medical College,48.148,76.47,5,3
ACCT0008626,Novae Management Ltd,48.148,144.444,5,1
ACCT0008666,Balfour Beatty Group Ltd,51.851,93.333,5,2
ACCT0008668,Ubisoft,48.148,76.47,5,3
ACCT0008674,Bow Valley College,14.814,30.769,2,2
ACCT0008675,Adventist Health System Sunbelt Healthcare Corp,29.629,88.888,3,1
ACCT0008678,Amcor Europe Group Management,62.962,94.444,5,3
ACCT0008700,"Lexmark International, Inc.",40.74,73.333,4,2
ACCT0008702,"Allina Health System, Inc.",44.444,80,4,2
ACCT0008706,BB & T Corp,81.481,122.222,5,3
ACCT0008708,Timico Limited,48.148,86.666,5,2
ACCT0008715,University Of Texas Southwest Medical Center,40.74,110,4,1
ACCT0008716,Citic Pacific Mining,<Null>,<Null>,4,4
ACCT0008720,Cardlink Services Limited,33.333,64.285,3,2
ACCT0008763,Ericsson AB,14.814,28.571,2,2
ACCT0008784,"Bureau of National Affairs, Inc.",40.74,73.333,4,2
ACCT0008786,Canadian Imperial Bank of Commerce,44.444,66.666,4,3
ACCT0008787,Acciona Corp SA,18.518,<Null>,2,4
ACCT0008788,Horizon BlueCross BlueShield of New Jersey,44.444,66.666,4,3
ACCT0008790,a&o Systems Ireland (Arkphire),44.444,85.714,4,2
ACCT0008797,Memorial Hermann Hospital System,7.407,15.384,1,2
ACCT0008798,Microsoft Corporation,51.851,127.272,5,2
ACCT0008799,"Altria Group, Inc.",70.37,118.75,5,3
ACCT0008809,Capita Clinical Solutions,40.74,73.333,4,2
ACCT0008810,HealthPlan Services Inc,11.111,33,1,1
ACCT0008813,Prometheus Laboratories Inc,37.037,66.666,4,2
ACCT0008826,Sirius XM Radio Inc,37.037,142.857,4,1
ACCT0008834,Essendant Co.,3.703,7.692,1,2
ACCT0008837,Hitachi Capital (UK) PLC,37.037,66.666,4,2
ACCT0008838,City University London,37.037,71.428,4,2
ACCT0008844,Academy Mortgage Corp,51.851,93.333,5,2
ACCT0008853,Spectra Laboratories Inc,51.851,93.333,5,2
ACCT0008862,ITERGO Informationstechnologie GmbH,3.703,9.09,1,2
ACCT0008866,ICMA-RC,48.148,86.666,5,2
ACCT0008872,Minter Ellison,37.037,125,4,1
ACCT0008877,Finish Line Inc.,51.851,100,5,2
ACCT0008897,Si Systems Ltd,22.222,42.857,2,2
ACCT0008900,State of Utah Department of Technology Services,51.851,93.333,5,2
ACCT0008901,Acision Ltd,44.444,80,4,2
ACCT0008909,Blue Chip Data Systems Ltd,40.74,52.38,4,3
ACCT0008910,Omega Insurance Holdings (Canopius),18.518,35.714,2,2
ACCT0008918,Ericsson UK,29.629,114.285,3,1
ACCT0008920,Panduit Corporation,62.962,100,5,3
ACCT0008923,Lemmink?ñinen Oyj,33.333,60,3,2
ACCT0008934,Lend Lease ICT Services Inc,55.555,83.333,5,3
ACCT0008937,Trelleborg Sealing Solutions GmbH,33.333,64.285,3,2
ACCT0008938,Mettler-Toledo International Inc.,37.037,71.428,4,2
ACCT0008945,Amec Foster Wheeler,25.925,46.666,2,2
ACCT0008952,Australian Catholic University,44.444,92.307,4,2
ACCT0008962,Sallie Mae Bank,37.037,71.428,4,2
ACCT0009001,Dynamic Parcel Distribution GmbH,25.925,46.666,2,2
ACCT0009003,Bridgestone EMEA,37.037,66.666,4,2
ACCT0009011,Actelion Pharmaceuticals Ltd,51.851,100,5,2
ACCT0009012,Ville De Geneve,44.444,80,4,2
ACCT0009023,Axfood AB,44.444,75,4,3
ACCT0009037,Herbert Smith Ltd,40.74,157.142,4,1
ACCT0009039,Norton Rose Ltd,55.555,<Null>,5,4
ACCT0009048,AG Service Company Limited (Addleshaw Goddard Llp),81.481,129.411,5,3
ACCT0009054,Wragge Lawrence Graham & Co LLP,40.74,73.333,4,2
ACCT0009059,"Yazaki North America, Inc.",29.629,53.333,3,2
ACCT0009060,America's Remote Help Desk,29.629,53.333,3,2
ACCT0009084,Vocalink Ltd,18.518,55.555,2,1
ACCT0009086,Adidas AG,37.037,142.857,4,1
ACCT0009093,tegut... Gutberlet Stiftung & Co.,29.629,53.333,3,2
ACCT0009095,New York University,40.74,68.75,4,3
ACCT0009099,University of Texas School System,37.037,71.428,4,2
ACCT0009102,Hospital Sisters Health System,37.037,66.666,4,2
ACCT0009109,"Avnet, Inc",48.148,86.666,5,2
ACCT0009110,CareFusion IT/Becton Dickinson IT,70.37,118.75,5,3
ACCT0009119,Cox Enterprises Inc,44.444,75,4,3
ACCT0009121,Global Switch Ltd,11.111,20,1,2
ACCT0009126,NTT Communications ICT Solutions,25.925,50,2,2
ACCT0009129,Sterling Jewelers Inc,40.74,73.333,4,2
ACCT0009136,Brother International Europe Ltd,51.851,100,5,2
ACCT0009137,Steria Schweiz AG,40.74,73.333,4,2
ACCT0009138,SDL International,37.037,71.428,4,2
ACCT0009145,QBE Group Shared Services Limited,51.851,155.555,5,1
ACCT0009152,Target Corporation,62.962,113.333,5,2
ACCT0009156,Robert W Baird & Co Inc,25.925,50,2,2
ACCT0009158,Saint Gobain DSI Groupe,48.148,86.666,5,2
ACCT0009159,Tag Heuer,22.222,40,2,2
ACCT0009160,NorthgateArinso Belgium SA,62.962,100,5,3
ACCT0009163,Univision Communications Inc,81.481,146.666,5,2
ACCT0009167,Pepperidge Farm Inc,14.814,26.666,2,2
ACCT0009168,Symantec Corporation,74.074,133.333,5,2
ACCT0009175,CenturyLink Inc,29.629,57.142,3,2
ACCT0009176,SwissLog Logistics Inc.,33.333,64.285,3,2
ACCT0009179,McGuireWoods LLP,11.111,33.333,1,1
ACCT0009186,Technicolor Inc.,74.074,125,5,3
ACCT0009187,Smiths News Trading Ltd,14.814,44.444,2,1
ACCT0009189,Hawaiian Telcom Inc,44.444,85.714,4,2
ACCT0009193,Toyota Motor Europe SA,48.148,86.666,5,2
ACCT0009199,KBC Groep NV,59.259,106.666,5,2
ACCT0009219,CIGNA Corporation,44.444,92.307,4,2
ACCT0009221,Bournemouth University,51.851,93.333,5,2
ACCT0009228,Argos Ltd.,48.148,<Null>,5,4
ACCT0009233,MPG Operations LLC,48.148,81.25,5,3
ACCT0009239,Imperial Tobacco Group Plc,37.037,111.111,4,1
ACCT0009242,Diageo plc,44.444,75,4,3
ACCT0009249,Tangerine Bank,48.148,92.857,5,2
ACCT0009250,ING Belgium,18.518,31.25,2,3
ACCT0009251,Kingfisher Plc,48.148,81.25,5,3
ACCT0009252,"University of California, Riverside",7.407,14.285,1,2
ACCT0009253,"Aruba Networks, Inc.",40.74,<Null>,4,4
ACCT0009260,Granite Construction Incorporated,29.629,114.285,3,1
ACCT0009274,Asos,51.851,<Null>,5,4
ACCT0009278,Delaval Services GmbH,37.037,125,4,1
ACCT0009280,Hannover RE,62.962,242.857,5,1
ACCT0009300,Gold's Gym International Inc,33.333,90,3,1
ACCT0009303,General Motors Financial Co Inc,44.444,80,4,2
ACCT0009333,Cimpress,29.629,80,3,1
ACCT0009343,Church Pension Group Services Corporation,40.74,64.705,4,3
ACCT0009347,Daiwa Capital Markets America Inc.,25.925,50,2,2
ACCT0009356,"Godiva Chocolatier, Inc.",33.333,<Null>,3,4
ACCT0009359,"Health Management Systems, Inc.",37.037,71.428,4,2
ACCT0009382,"Mizuho Securities USA, Inc.",55.555,93.75,5,3
ACCT0009389,New York Public Library,44.444,70.588,4,3
ACCT0009392,Och-Ziff Capital Management Group LLC,33.333,75,3,2
ACCT0009402,Russell Reynolds Associates Inc,33.333,128.571,3,1
ACCT0009424,Wachtell Lipton Rosen & Katz,40.74,73.333,4,2
ACCT0009437,Deutsche Post IT Services GmbH,62.962,113.333,5,2
ACCT0009443,Rural/Metro Corporation,59.259,114.285,5,2
ACCT0009460,AMEC Foster Wheeler PLC,33.333,56.25,3,3
ACCT0009466,BBRAUN,29.629,53.333,3,2
ACCT0009473,City Of Hillsboro,22.222,66.666,2,1
ACCT0009486,Mizuho Securities International and Asia,51.851,93.333,5,2
ACCT0009503,"AmTrust North America, Inc.",62.962,242.857,5,1
ACCT0009505,Assured Guaranty,37.037,66.666,4,2
ACCT0009509,Holland & Knight LLP,22.222,46.153,2,2
ACCT0009510,Bank Leumi USA,51.851,107.692,5,2
ACCT0009512,Lafarge SA,55.555,100,5,2
ACCT0009515,Thales UK Ltd,44.444,171.428,4,1
ACCT0009519,"Ascension Health-IS, Inc. d/b/a Ascension Information Services",74.074,125,5,3
ACCT0009520,Health & Hospital Corporation,62.962,100,5,3
ACCT0009532,Neptune Orient Lines Ltd.,48.148,76.47,5,3
ACCT0009534,Scottish Water,62.962,100,5,3
ACCT0009539,JD Williams Group,33.333,<Null>,3,4
ACCT0009546,Indiana Public Retirement System PRS,25.925,46.666,2,2
ACCT0009552,University of Southampton,48.148,81.25,5,3
ACCT0009555,Shriners Hospitals for Children,55.555,88.235,5,3
ACCT0009556,ERP Suites,33.333,60,3,2
ACCT0009568,Dufry Management AG,25.925,<Null>,2,4
ACCT0009570,Holcim Group Services Ltd,62.962,113.333,5,2
ACCT0009574,Intergraph Corporation - Leica Geosystems AG,29.629,53.333,3,2
ACCT0009579,University of Loughborough,44.444,80,4,2
ACCT0009581,"L.L. Bean, Inc.",40.74,73.333,4,2
ACCT0009582,Manpower Finland,29.629,57.142,3,2
ACCT0009601,Erie Indemnity Company,29.629,72.727,3,2
ACCT0009607,Hawaiian Airlines Inc,44.444,80,4,2
ACCT0009608,"Nebraska Furniture Mart, Inc.",51.851,87.5,5,3
ACCT0009611,EdgeCast Networks Inc.,62.962,106.25,5,3
ACCT0009617,Selfridges Group,37.037,142.857,4,1
ACCT0009620,Scottish & Southern Energy Plc,51.851,93.333,5,2
ACCT0009624,Concho Resources Inc,37.037,66.666,4,2
ACCT0009636,Bright House Networks LLC,14.814,33.333,2,2
ACCT0009642,Echo Entertainment Group Ltd,70.37,118.75,5,3
ACCT0009659,"Tesla Motors, Inc.",33.333,<Null>,3,4
ACCT0009661,Children's Hospital and Research Center Oakland,48.148,92.857,5,2
ACCT0009694,UFI Ltd (LearnDirect),37.037,66.666,4,2
ACCT0009713,SNCF R??seaux,11.111,21.428,1,2
ACCT0009714,GlobalConnect AS,22.222,40,2,2
ACCT0009721,K12 Inc.,33.333,52.941,3,3
ACCT0009725,Silver Spring Networks Inc,44.444,<Null>,4,4
ACCT0009731,KAR Auction Services Inc,55.555,78.947,5,3
ACCT0009737,University Of New England,37.037,125,4,1
ACCT0009738,Target Australia Pty Ltd,51.851,87.5,5,3
ACCT0009744,Covance Inc.,48.148,86.666,5,2
ACCT0009747,Adecco,44.444,80,4,2
ACCT0009758,L?ñkemedelsverket,25.925,50,2,2
ACCT0009759,City and Guilds,33.333,60,3,2
ACCT0009768,Admin Re UK Ltd,44.444,80,4,2
ACCT0009771,"ICU Medical, Inc.",22.222,42.857,2,2
ACCT0009772,Broadcasting Authority Of Ireland,14.814,28.571,2,2
ACCT0009787,Syncada LLC,29.629,53.333,3,2
ACCT0009789,The Random House Group Ltd,40.74,78.571,4,2
